N | OPT | Gap(%) | Nodes | Obj | Dual | N Cols | Time(s)
------------------------------------------------
0 | 0 | 7.14 | 188 | 57.00 | 56.00 | 1407 | 0 | Timeout
1 | 0 | 7.26 | 16 | 892.00 | 840.00 | 651 | 0 | Timeout
2 | 1 | 0.00 | 1 | 0.00 | -0.00 | 31 | 0 | 0.15
3 | 0 | 12.86 | 15 | 144.00 | 140.00 | 1044 | 0 | Timeout
4 | - | - | 1 | - | 0.0 | 287 | 0 | Timeout
5 | - | - | 1 | - | 628.0 | 1085 | 0 | Timeout
6 | - | - | 1 | - | 0.0 | 401 | 0 | Timeout
7 | 1 | 0.00 | 1 | 0.00 | -0.00 | 44 | 0 | 0.22
8 | Infeasible | - | 1 | - | - | 9 | 0 | 0.69
9 | - | - | 3 | - | 97.0 | 1534 | 0 | Timeout
10 | 0 | 13.17 | 2 | 928.00 | 820.00 | 1021 | 0 | Timeout
11 | - | - | 1 | - | 701.0 | 670 | 0 | Timeout
12 | 1 | 0.00 | 1 | 0.00 | -0.00 | 53 | 0 | 0.28
14 | - | - | 1 | - | 729.0 | 473 | 0 | Timeout
15 | - | - | 1 | - | - | 733 | 0 | Timeout
17 | 1 | 0.00 | 1 | 0.00 | -0.00 | 35 | 0 | 0.19
18 | - | - | 1 | - | 151.0 | 578 | 0 | Timeout
19 | Infeasible | - | 1 | - | - | 247 | 0 | 22.08
20 | Infeasible | - | 1 | - | - | 297 | 0 | 38.45
22 | - | - | 1 | - | 1185.0 | 576 | 0 | Timeout
23 | Infeasible | - | 1 | - | - | 3 | 0 | 0.04
24 | 0 | 9.61 | 3 | 1869.00 | 1706.00 | 1087 | 0 | Timeout
25 | Infeasible | - | 1 | - | - | 463 | 0 | 48.44
26 | 0 | 7.78 | 6 | 387.00 | 360.00 | 790 | 0 | Timeout
27 | - | - | 1 | - | 336.0 | 477 | 0 | Timeout
28 | 0 | 9.09 | 1006 | 12.00 | 11.00 | 308 | 0 | Timeout
29 | 0 | 11.20 | 2 | 1886.00 | 1696.00 | 903 | 0 | Timeout
30 | 1 | 0.00 | 1 | 0.00 | -0.00 | 48 | 0 | 0.52
31 | 0 | 4.55 | 9 | 457.00 | 440.00 | 998 | 0 | Timeout
32 | Infeasible | - | 1 | - | - | 381 | 0 | 31.34
33 | 1 | 0.00 | 1 | 0.00 | -0.00 | 43 | 0 | 0.22
34 | 0 | 14.29 | 1030 | 24.00 | 21.00 | 359 | 0 | Timeout
35 | 1 | 0.00 | 247 | 7.00 | 7.00 | 735 | 0 | 247.58
36 | 0 | 3.60 | 63 | 288.00 | 278.00 | 916 | 0 | Timeout
37 | 0 | 14.26 | 6 | 741.00 | 652.00 | 4786 | 0 | Timeout
38 | 0 | 6.39 | 6 | 413.00 | 391.00 | 557 | 0 | Timeout
39 | Infeasible | - | 1 | - | - | 40 | 0 | 1.95
40 | 1 | 0.00 | 1 | 0.00 | -0.00 | 97 | 0 | 0.97
41 | 1 | 0.00 | 1 | 0.00 | -0.00 | 54 | 0 | 0.37
43 | Infeasible | - | 1 | - | - | 374 | 0 | 31.42
44 | - | - | 6 | - | 2589.0 | 768 | 0 | Timeout
45 | - | - | 1 | - | 1496.0 | 1145 | 0 | Timeout
46 | - | - | 1 | - | 1934.0 | 845 | 0 | Timeout
47 | 1 | 0.00 | 1 | 0.00 | -0.00 | 111 | 0 | 0.52
48 | 0 | 9.84 | 18 | 617.00 | 569.00 | 924 | 0 | Timeout
49 | 1 | 0.00 | 1 | 0.00 | -0.00 | 40 | 0 | 0.20
