instance,is_infeasible,primal,dual,error
low_10x10_10x0,No,inf,-inf,OK
low_10x10_10x1,No,inf,-inf,OK
low_10x10_10x2,No,inf,-inf,OK
low_10x10_10x3,No,inf,-inf,OK
low_10x10_10x4,No,inf,-inf,OK
low_10x10_10x5,No,inf,-inf,OK
low_10x10_10x6,No,inf,-inf,OK
low_10x10_10x7,No,inf,-inf,OK
low_10x10_10x8,No,inf,-inf,OK
low_10x10_10x9,No,inf,-inf,OK
low_10x10_10x10,No,inf,-inf,OK
low_10x10_10x11,No,inf,-inf,OK
low_10x10_10x12,No,inf,-inf,OK
low_10x10_10x13,No,inf,-inf,OK
low_10x10_10x14,No,inf,-inf,OK
low_10x10_10x15,No,inf,-inf,OK
low_10x10_10x16,No,inf,-inf,OK
low_10x10_10x17,No,inf,-inf,OK
low_10x10_10x18,No,inf,-inf,OK
low_10x10_10x19,No,inf,-inf,OK
low_10x10_10x20,No,inf,-inf,OK
low_10x10_10x21,No,inf,-inf,OK
low_10x10_10x22,No,inf,-inf,OK
low_10x10_10x23,No,inf,-inf,OK
low_10x10_10x24,No,inf,-inf,OK
low_10x10_10x25,No,inf,-inf,OK
low_10x10_10x26,No,inf,-inf,OK
low_10x10_10x27,No,inf,-inf,OK
low_10x10_10x28,No,inf,-inf,OK
low_10x10_10x29,No,inf,-inf,OK
low_10x10_10x30,No,inf,-inf,OK
low_10x10_10x31,No,inf,-inf,OK
low_10x10_10x32,No,inf,-inf,OK
low_10x10_10x33,No,inf,-inf,OK
low_10x10_10x34,No,inf,-inf,OK
low_10x10_10x35,No,inf,-inf,OK
low_10x10_10x36,No,inf,-inf,OK
low_10x10_10x37,No,inf,-inf,OK
low_10x10_10x38,No,inf,-inf,OK
low_10x10_10x39,No,inf,-inf,OK
low_10x10_10x40,No,inf,-inf,OK
low_10x10_10x41,No,inf,-inf,OK
low_10x10_10x42,No,inf,-inf,OK
low_10x10_10x43,No,inf,-inf,OK
low_10x10_10x44,No,inf,-inf,OK
low_10x10_10x45,No,inf,-inf,OK
low_10x10_10x46,No,inf,-inf,OK
low_10x10_10x47,No,inf,-inf,OK
low_10x10_10x48,No,inf,-inf,OK
low_10x10_10x49,No,inf,-inf,OK
low_10x20x0,No,inf,-inf,OK
low_10x20x1,No,inf,-inf,OK
low_10x20x2,No,inf,-inf,OK
low_10x20x3,No,inf,-inf,OK
low_10x20x4,No,inf,-inf,OK
low_10x20x5,No,inf,-inf,OK
low_10x20x6,No,inf,-inf,OK
low_10x20x7,No,inf,-inf,OK
low_10x20x8,No,inf,-inf,OK
low_10x20x9,No,inf,-inf,OK
low_10x20x10,No,inf,-inf,OK
low_10x20x11,No,inf,-inf,OK
low_10x20x12,No,inf,-inf,OK
low_10x20x13,No,inf,-inf,OK
low_10x20x14,No,inf,-inf,OK
low_10x20x15,No,inf,-inf,OK
low_10x20x16,No,inf,-inf,OK
low_10x20x17,No,inf,-inf,OK
low_10x20x18,No,inf,-inf,OK
low_10x20x19,No,inf,-inf,OK
low_10x20x20,No,inf,-inf,OK
low_10x20x21,No,inf,-inf,OK
low_10x20x22,No,inf,-inf,OK
low_10x20x23,No,inf,-inf,OK
low_10x20x24,No,inf,-inf,OK
low_10x20x25,No,inf,-inf,OK
low_10x20x26,No,inf,-inf,OK
low_10x20x27,No,inf,-inf,OK
low_10x20x28,No,inf,-inf,OK
low_10x20x29,No,inf,-inf,OK
low_10x20x30,No,inf,-inf,OK
low_10x20x31,No,inf,-inf,OK
low_10x20x32,No,inf,-inf,OK
low_10x20x33,No,inf,-inf,OK
low_10x20x34,No,inf,-inf,OK
low_10x20x35,No,inf,-inf,OK
low_10x20x36,No,inf,-inf,OK
low_10x20x37,No,inf,-inf,OK
low_10x20x38,No,inf,-inf,OK
low_10x20x39,No,inf,-inf,OK
low_10x20x40,No,inf,-inf,OK
low_10x20x41,No,inf,-inf,OK
low_10x20x42,No,inf,-inf,OK
low_10x20x43,No,inf,-inf,OK
low_10x20x44,No,inf,-inf,OK
low_10x20x45,No,inf,-inf,OK
low_10x20x46,No,inf,-inf,OK
low_10x20x47,No,inf,-inf,OK
low_10x20x48,No,inf,-inf,OK
low_10x20x49,No,inf,-inf,OK
low_20x10_10x0,No,inf,-inf,OK
low_20x10_10x1,No,inf,-inf,OK
low_20x10_10x2,No,inf,-inf,OK
low_20x10_10x3,No,inf,-inf,OK
low_20x10_10x4,No,inf,-inf,OK
low_20x10_10x5,No,inf,-inf,OK
low_20x10_10x6,No,inf,-inf,OK
low_20x10_10x7,No,inf,-inf,OK
low_20x10_10x8,No,inf,-inf,OK
low_20x10_10x9,No,inf,-inf,OK
low_20x10_10x10,No,inf,-inf,OK
low_20x10_10x11,No,inf,-inf,OK
low_20x10_10x12,No,inf,-inf,OK
low_20x10_10x13,No,inf,-inf,OK
low_20x10_10x14,No,inf,-inf,OK
low_20x10_10x15,No,inf,-inf,OK
low_20x10_10x16,No,inf,-inf,OK
low_20x10_10x17,No,inf,-inf,OK
low_20x10_10x18,No,inf,-inf,OK
low_20x10_10x19,No,inf,-inf,OK
low_20x10_10x20,No,inf,-inf,OK
low_20x10_10x21,No,inf,-inf,OK
low_20x10_10x22,No,inf,-inf,OK
low_20x10_10x23,No,inf,-inf,OK
low_20x10_10x24,No,inf,-inf,OK
low_20x10_10x25,No,inf,-inf,OK
low_20x10_10x26,No,inf,-inf,OK
low_20x10_10x27,No,inf,-inf,OK
low_20x10_10x28,No,inf,-inf,OK
low_20x10_10x29,No,inf,-inf,OK
low_20x10_10x30,No,inf,-inf,OK
low_20x10_10x31,No,inf,-inf,OK
low_20x10_10x32,No,inf,-inf,OK
low_20x10_10x33,No,inf,-inf,OK
low_20x10_10x34,No,inf,-inf,OK
low_20x10_10x35,No,inf,-inf,OK
low_20x10_10x36,No,inf,-inf,OK
low_20x10_10x37,No,inf,-inf,OK
low_20x10_10x38,No,inf,-inf,OK
low_20x10_10x39,No,inf,-inf,OK
low_20x10_10x40,No,inf,-inf,OK
low_20x10_10x41,No,inf,-inf,OK
low_20x10_10x42,No,inf,-inf,OK
low_20x10_10x43,No,inf,-inf,OK
low_20x10_10x44,No,inf,-inf,OK
low_20x10_10x45,No,inf,-inf,OK
low_20x10_10x46,No,inf,-inf,OK
low_20x10_10x47,No,inf,-inf,OK
low_20x10_10x48,No,inf,-inf,OK
low_20x10_10x49,No,inf,-inf,OK
low_20x20x0,No,inf,-inf,OK
low_20x20x1,No,inf,-inf,OK
low_20x20x2,No,inf,-inf,OK
low_20x20x3,No,inf,-inf,OK
low_20x20x4,No,inf,-inf,OK
low_20x20x5,No,inf,-inf,OK
low_20x20x6,No,inf,-inf,OK
low_20x20x7,No,inf,-inf,OK
low_20x20x8,No,inf,-inf,OK
low_20x20x9,No,inf,-inf,OK
low_20x20x10,No,inf,-inf,OK
low_20x20x11,No,inf,-inf,OK
low_20x20x12,No,inf,-inf,OK
low_20x20x13,No,inf,-inf,OK
low_20x20x14,No,inf,-inf,OK
low_20x20x15,No,inf,-inf,OK
low_20x20x16,No,inf,-inf,OK
low_20x20x17,No,inf,-inf,OK
low_20x20x18,No,inf,-inf,OK
low_20x20x19,No,inf,-inf,OK
low_20x20x20,No,inf,-inf,OK
low_20x20x21,No,inf,-inf,OK
low_20x20x22,No,inf,-inf,OK
low_20x20x23,No,inf,-inf,OK
low_20x20x24,No,inf,-inf,OK
low_20x20x25,No,inf,-inf,OK
low_20x20x26,No,inf,-inf,OK
low_20x20x27,No,inf,-inf,OK
low_20x20x28,No,inf,-inf,OK
low_20x20x29,No,inf,-inf,OK
low_20x20x30,No,inf,-inf,OK
low_20x20x31,No,inf,-inf,OK
low_20x20x32,No,inf,-inf,OK
low_20x20x33,No,inf,-inf,OK
low_20x20x34,No,inf,-inf,OK
low_20x20x35,No,inf,-inf,OK
low_20x20x36,No,inf,-inf,OK
low_20x20x37,No,inf,-inf,OK
low_20x20x38,No,inf,-inf,OK
low_20x20x39,No,inf,-inf,OK
low_20x20x40,No,inf,-inf,OK
low_20x20x41,No,inf,-inf,OK
low_20x20x42,No,inf,-inf,OK
low_20x20x43,No,inf,-inf,OK
low_20x20x44,No,inf,-inf,OK
low_20x20x45,No,inf,-inf,OK
low_20x20x46,No,inf,-inf,OK
low_20x20x47,No,inf,-inf,OK
low_20x20x48,No,inf,-inf,OK
low_20x20x49,No,inf,-inf,OK
high_10x10_10x0,No,inf,-inf,OK
high_10x10_10x1,No,inf,-inf,OK
high_10x10_10x2,No,inf,-inf,OK
high_10x10_10x3,No,inf,-inf,OK
high_10x10_10x4,No,inf,-inf,OK
high_10x10_10x5,No,inf,-inf,OK
high_10x10_10x6,No,inf,-inf,OK
high_10x10_10x7,No,inf,-inf,OK
high_10x10_10x8,No,inf,-inf,OK
high_10x10_10x9,No,inf,-inf,OK
high_10x10_10x10,No,inf,-inf,OK
high_10x10_10x11,No,inf,-inf,OK
high_10x10_10x12,No,inf,-inf,OK
high_10x10_10x13,No,inf,-inf,OK
high_10x10_10x14,No,inf,-inf,OK
