instance,is_infeasible,primal,dual,error
PT_low_10x10_10x0,No,192,178,OK
PT_low_10x10_10x1,No,0,0,OK
PT_low_10x10_10x2,No,0,0,OK
PT_low_10x10_10x3,No,0,0,OK
PT_low_10x10_10x4,No,198,179,OK
PT_low_10x10_10x5,No,0,0,OK
PT_low_10x10_10x6,No,0,0,OK
PT_low_10x10_10x7,No,0,0,OK
PT_low_10x10_10x8,No,10,10,OK
PT_low_10x10_10x9,No,158,140,OK
PT_low_10x10_10x10,No,0,0,OK
PT_low_10x10_10x11,No,402,378,OK
PT_low_10x10_10x12,No,265,191,OK
PT_low_10x10_10x13,No,0,0,OK
PT_low_10x10_10x14,No,57,57,OK
PT_low_10x10_10x15,No,114,86,OK
PT_low_10x10_10x16,No,52,48,OK
PT_low_10x10_10x17,No,207,190,OK
PT_low_10x10_10x18,Yes,,,OK
PT_low_10x10_10x19,No,0,0,OK
PT_low_10x10_10x20,No,205,190,OK
PT_low_10x10_10x21,No,0,0,OK
PT_low_10x10_10x22,No,0,0,OK
PT_low_10x10_10x23,No,192,179,OK
PT_low_10x10_10x24,No,164,153,OK
PT_low_10x10_10x25,No,43,31,OK
PT_low_10x10_10x26,No,0,0,OK
PT_low_10x10_10x27,No,420,401,OK
PT_low_10x10_10x28,No,5,5,OK
PT_low_10x10_10x29,No,0,0,OK
PT_low_10x10_10x30,No,0,0,OK
PT_low_10x10_10x31,No,0,0,OK
PT_low_10x10_10x32,No,0,0,OK
PT_low_10x10_10x33,No,348,327,OK
PT_low_10x10_10x34,No,108,89,OK
PT_low_10x10_10x35,No,90,83,OK
PT_low_10x10_10x36,No,155,127,OK
PT_low_10x10_10x37,No,48,48,OK
PT_low_10x10_10x38,No,0,0,OK
PT_low_10x10_10x39,No,0,0,OK
PT_low_10x10_10x40,No,40,38,OK
PT_low_10x10_10x41,No,0,0,OK
PT_low_10x10_10x42,Yes,,,OK
PT_low_10x10_10x43,No,20,11,OK
PT_low_10x10_10x44,No,0,0,OK
PT_low_10x10_10x45,No,0,0,OK
PT_low_10x10_10x46,Yes,,,OK
PT_low_10x10_10x47,No,0,0,OK
PT_low_10x10_10x48,No,110,103,OK
